index,hight,width,estimate,root_children
0,6,2,6.456360425798343e+19,2
1,8,2,6.456360425798343e+19,2
2,8,2,6.456360425798343e+19,2
3,5,2,6.456360425798343e+19,2
4,5,2,6.456360425798343e+19,2
5,7,2,6.456360425798343e+19,2
6,7,2,6.456360425798343e+19,2
7,7,2,6.456360425798343e+19,2
8,7,2,6.456360425798343e+19,2
9,5,2,6.456360425798343e+19,2
10,5,2,6.456360425798343e+19,2
11,7,2,6.456360425798343e+19,2
12,6,2,6.456360425798343e+19,2
13,5,2,6.456360425798343e+19,2
14,7,2,6.456360425798343e+19,2
15,5,2,6.456360425798343e+19,2
16,7,2,6.456360425798343e+19,2
17,6,3,6.456360425798343e+19,2
18,5,3,6.456360425798343e+19,3
19,4,3,6.456360425798343e+19,3
18,5,3,6.456360425798343e+19,3
