index,hight,width,estimate,root_children
0,7,3,5.5340232221128655e+19,2
1,7,3,5.5340232221128655e+19,2
2,5,3,5.5340232221128655e+19,2
3,6,3,5.5340232221128655e+19,2
4,5,3,5.5340232221128655e+19,2
5,5,3,5.5340232221128655e+19,2
6,5,4,4.611686018427388e+19,2
7,6,4,4.611686018427388e+19,2
8,5,4,4.611686018427388e+19,2
9,5,4,4.611686018427388e+19,2
10,5,4,4.611686018427388e+19,2
11,7,4,4.611686018427388e+19,2
12,7,4,4.611686018427388e+19,2
13,5,4,5.5340232221128655e+19,2
14,6,4,5.5340232221128655e+19,2
15,5,4,4.611686018427388e+19,2
16,4,4,4.611686018427388e+19,2
17,5,4,5.5340232221128655e+19,2
18,5,4,4.611686018427388e+19,2
19,6,4,5.5340232221128655e+19,2
0,7,3,5.5340232221128655e+19,2
