index,hight,width,estimate,root_children
0,6,2,4.611686018427388e+19,2
1,7,2,4.611686018427388e+19,2
2,6,2,4.611686018427388e+19,2
3,6,1,5.5340232221128655e+19,1
4,6,1,5.5340232221128655e+19,1
5,7,2,4.611686018427388e+19,2
6,7,2,6.456360425798343e+19,1
7,5,2,4.611686018427388e+19,2
8,6,2,4.611686018427388e+19,2
9,6,2,5.5340232221128655e+19,1
10,6,2,5.5340232221128655e+19,1
11,6,2,4.611686018427388e+19,2
12,7,2,5.5340232221128655e+19,2
13,7,1,6.456360425798343e+19,1
14,7,2,4.611686018427388e+19,2
15,8,2,5.5340232221128655e+19,2
16,6,2,4.611686018427388e+19,1
17,6,2,3.6893488147419103e+19,2
18,5,2,4.611686018427388e+19,2
19,5,2,5.5340232221128655e+19,2
3,6,1,5.5340232221128655e+19,1
