index,hight,width,estimate,root_children
0,6,2,4.611686018427388e+19,2
1,6,2,4.611686018427388e+19,2
2,5,2,5.5340232221128655e+19,2
3,5,2,4.611686018427388e+19,2
4,6,2,5.5340232221128655e+19,2
5,5,2,5.5340232221128655e+19,2
6,5,2,5.5340232221128655e+19,2
7,5,2,4.611686018427388e+19,2
8,5,2,4.611686018427388e+19,2
9,6,2,4.611686018427388e+19,2
10,5,2,4.611686018427388e+19,2
11,6,2,4.611686018427388e+19,2
12,6,2,5.5340232221128655e+19,2
13,4,2,4.611686018427388e+19,2
14,5,2,4.611686018427388e+19,2
15,5,2,4.611686018427388e+19,2
16,5,2,5.5340232221128655e+19,2
17,4,2,4.611686018427388e+19,2
18,4,2,1.8446744073709552e+19,2
19,5,2,2.7670116110564327e+19,2
20,5,2,2.7670116110564327e+19,2
21,5,2,2.7670116110564327e+19,2
22,4,2,2.7670116110564327e+19,2
23,4,2,1.8446744073709552e+19,2
24,5,2,2.7670116110564327e+19,2
25,5,3,5.5340232221128655e+19,3
26,5,3,5.5340232221128655e+19,3
27,5,3,4.611686018427388e+19,3
28,5,3,4.611686018427388e+19,3
29,4,3,4.611686018427388e+19,3
30,4,3,4.611686018427388e+19,3
31,5,3,4.611686018427388e+19,3
32,5,3,4.611686018427388e+19,3
33,4,3,5.5340232221128655e+19,3
34,4,3,2.7670116110564327e+19,3
35,3,3,1.8446744073709552e+19,3
36,4,3,2.7670116110564327e+19,3
37,4,3,1.8446744073709552e+19,3
38,4,3,1.8446744073709552e+19,3
39,4,3,1.8446744073709552e+19,2
40,3,3,1.8446744073709552e+19,3
41,4,3,1.8446744073709552e+19,2
42,3,4,1.8446744073709552e+19,4
42,3,4,1.8446744073709552e+19,4
