index,hight,width,estimate,root_children
0,7,2,7.378697629483821e+19,2
1,7,2,7.378697629483821e+19,2
2,6,2,7.378697629483821e+19,2
3,8,2,7.378697629483821e+19,2
4,6,2,7.378697629483821e+19,2
5,6,2,7.378697629483821e+19,2
6,7,2,7.378697629483821e+19,2
7,8,2,7.378697629483821e+19,2
8,6,2,7.378697629483821e+19,2
9,8,2,7.378697629483821e+19,2
10,5,2,7.378697629483821e+19,2
11,9,2,7.378697629483821e+19,2
12,9,2,7.378697629483821e+19,2
13,7,2,7.378697629483821e+19,2
14,7,2,7.378697629483821e+19,2
15,7,2,7.378697629483821e+19,2
16,6,2,7.378697629483821e+19,2
17,6,2,7.378697629483821e+19,2
18,7,2,7.378697629483821e+19,2
19,5,2,7.378697629483821e+19,2
0,7,2,7.378697629483821e+19,2
