index,hight,width,estimate,root_children
0,5,2,4.611686018427388e+19,2
1,4,2,4.611686018427388e+19,2
2,5,2,4.611686018427388e+19,2
3,5,2,4.611686018427388e+19,2
4,5,2,4.611686018427388e+19,2
5,5,2,3.6893488147419103e+19,2
6,6,2,3.6893488147419103e+19,2
7,5,2,4.611686018427388e+19,2
8,5,2,4.611686018427388e+19,2
9,6,2,4.611686018427388e+19,2
10,5,2,2.7670116110564327e+19,2
11,5,2,2.7670116110564327e+19,2
12,4,2,2.7670116110564327e+19,2
13,6,2,3.6893488147419103e+19,2
14,6,2,4.611686018427388e+19,2
15,5,2,4.611686018427388e+19,2
16,4,3,3.6893488147419103e+19,2
17,5,2,3.6893488147419103e+19,2
18,5,2,3.6893488147419103e+19,2
19,4,3,2.7670116110564327e+19,3
20,4,3,1.8446744073709552e+19,3
21,5,3,2.7670116110564327e+19,2
22,3,3,1.8446744073709552e+19,3
23,5,2,2.7670116110564327e+19,2
24,4,3,1.8446744073709552e+19,2
25,3,3,1.8446744073709552e+19,3
26,4,3,2.7670116110564327e+19,3
27,4,2,1.8446744073709552e+19,2
28,4,3,1.8446744073709552e+19,3
29,4,3,1.8446744073709552e+19,2
30,4,4,1.8446744073709552e+19,2
31,3,4,1.8446744073709552e+19,4
19,4,3,2.7670116110564327e+19,3
