index,hight,width,estimate,root_children
0,5,2,4.611686018427388e+19,2
1,6,2,4.611686018427388e+19,2
2,5,2,2.7670116110564327e+19,1
3,4,2,2.7670116110564327e+19,2
4,5,2,2.7670116110564327e+19,1
5,4,2,2.7670116110564327e+19,2
6,4,3,3.6893488147419103e+19,2
7,4,3,3.6893488147419103e+19,2
8,6,3,3.6893488147419103e+19,2
9,5,3,3.6893488147419103e+19,2
10,4,3,2.7670116110564327e+19,1
11,4,3,1.8446744073709552e+19,1
12,3,3,1.8446744073709552e+19,2
13,4,3,2.7670116110564327e+19,1
14,4,4,2.7670116110564327e+19,2
15,4,4,2.7670116110564327e+19,2
16,4,4,1.8446744073709552e+19,1
2,5,2,2.7670116110564327e+19,1
