index,hight,width,estimate,root_children
0,5,2,4.611686018427388e+19,2
1,5,2,4.611686018427388e+19,2
2,5,2,4.611686018427388e+19,2
3,6,2,4.611686018427388e+19,2
4,6,2,4.611686018427388e+19,2
5,5,2,4.611686018427388e+19,2
6,6,2,4.611686018427388e+19,2
7,5,2,4.611686018427388e+19,2
8,5,2,4.611686018427388e+19,2
9,6,2,4.611686018427388e+19,2
10,5,2,4.611686018427388e+19,2
11,5,2,4.611686018427388e+19,2
12,5,2,2.7670116110564327e+19,2
13,5,2,2.7670116110564327e+19,2
14,5,2,2.7670116110564327e+19,2
15,5,2,2.7670116110564327e+19,2
16,5,2,2.7670116110564327e+19,2
17,5,2,2.7670116110564327e+19,2
18,4,3,4.611686018427388e+19,2
19,5,2,4.611686018427388e+19,2
20,4,3,4.611686018427388e+19,2
21,5,2,4.611686018427388e+19,2
22,4,3,2.7670116110564327e+19,3
23,4,3,2.7670116110564327e+19,3
24,4,3,2.7670116110564327e+19,2
25,4,3,2.7670116110564327e+19,3
26,4,3,2.7670116110564327e+19,3
27,4,3,2.7670116110564327e+19,3
28,4,3,2.7670116110564327e+19,2
29,4,3,2.7670116110564327e+19,2
30,4,3,2.7670116110564327e+19,3
31,3,4,2.7670116110564327e+19,4
0,5,2,4.611686018427388e+19,2
