index,hight,width,estimate,root_children
0,6,2,5.5340232221128655e+19,2
1,6,2,5.5340232221128655e+19,2
2,7,2,5.5340232221128655e+19,2
3,5,2,5.5340232221128655e+19,2
4,7,2,5.5340232221128655e+19,2
5,5,2,5.5340232221128655e+19,2
6,5,2,5.5340232221128655e+19,2
7,5,2,5.5340232221128655e+19,2
8,5,2,2.7670116110564327e+19,2
9,5,2,2.7670116110564327e+19,2
10,6,3,5.5340232221128655e+19,2
11,4,3,5.5340232221128655e+19,3
12,5,3,5.5340232221128655e+19,2
13,4,3,5.5340232221128655e+19,3
14,5,3,5.5340232221128655e+19,3
15,4,3,5.5340232221128655e+19,3
16,5,2,5.5340232221128655e+19,2
17,5,3,5.5340232221128655e+19,2
18,6,3,5.5340232221128655e+19,2
19,4,3,5.5340232221128655e+19,3
20,6,3,5.5340232221128655e+19,2
21,6,3,5.5340232221128655e+19,2
22,5,3,5.5340232221128655e+19,3
23,6,3,5.5340232221128655e+19,2
24,6,3,5.5340232221128655e+19,2
25,5,2,5.5340232221128655e+19,2
26,4,3,2.7670116110564327e+19,3
27,5,3,2.7670116110564327e+19,2
28,4,3,2.7670116110564327e+19,3
29,4,3,2.7670116110564327e+19,2
30,5,3,2.7670116110564327e+19,2
31,4,3,2.7670116110564327e+19,3
32,5,2,2.7670116110564327e+19,2
33,4,3,2.7670116110564327e+19,3
34,4,3,2.7670116110564327e+19,3
35,5,2,2.7670116110564327e+19,2
36,4,3,2.7670116110564327e+19,3
37,4,3,2.7670116110564327e+19,2
38,5,4,5.5340232221128655e+19,2
39,5,4,5.5340232221128655e+19,2
40,5,4,5.5340232221128655e+19,2
41,4,4,2.7670116110564327e+19,2
42,3,4,2.7670116110564327e+19,4
11,4,3,5.5340232221128655e+19,3
