index,hight,width,estimate,root_children
0,6,2,5.5340232221128655e+19,2
1,7,2,5.5340232221128655e+19,2
2,5,2,4.611686018427388e+19,2
3,5,2,5.5340232221128655e+19,2
4,7,2,4.611686018427388e+19,2
5,6,2,4.611686018427388e+19,2
6,5,2,5.5340232221128655e+19,2
7,5,2,4.611686018427388e+19,2
8,5,2,2.7670116110564327e+19,2
9,5,2,2.7670116110564327e+19,2
10,4,2,2.7670116110564327e+19,2
11,5,2,4.611686018427388e+19,2
12,5,3,5.5340232221128655e+19,2
13,5,2,4.611686018427388e+19,2
14,4,3,4.611686018427388e+19,3
15,5,3,4.611686018427388e+19,2
16,5,3,5.5340232221128655e+19,3
17,4,3,4.611686018427388e+19,3
18,4,3,5.5340232221128655e+19,3
19,4,3,4.611686018427388e+19,3
20,5,3,4.611686018427388e+19,3
21,4,3,4.611686018427388e+19,2
22,6,3,5.5340232221128655e+19,2
23,6,3,5.5340232221128655e+19,2
24,6,3,4.611686018427388e+19,2
25,6,3,4.611686018427388e+19,2
26,6,3,4.611686018427388e+19,2
27,4,3,1.8446744073709552e+19,3
28,4,3,1.8446744073709552e+19,2
29,5,3,2.7670116110564327e+19,2
30,3,3,1.8446744073709552e+19,3
31,4,3,2.7670116110564327e+19,3
32,4,2,1.8446744073709552e+19,2
33,5,2,2.7670116110564327e+19,2
34,4,3,1.8446744073709552e+19,3
35,3,3,1.8446744073709552e+19,3
36,4,3,1.8446744073709552e+19,2
37,4,3,2.7670116110564327e+19,3
38,4,4,4.611686018427388e+19,2
39,5,4,4.611686018427388e+19,2
40,5,4,4.611686018427388e+19,2
41,3,4,1.8446744073709552e+19,4
42,4,4,1.8446744073709552e+19,2
0,6,2,5.5340232221128655e+19,2
