index,hight,width,estimate
0,6,2,3.968999234887427
1,6,2,3.968999234887427
2,6,2,3.968947048803827
3,6,2,1.588253024251817
4,6,2,3.968999234887427
5,7,2,3.968947048803827
6,7,2,1.619094839692015
7,8,2,3.968947207394015
8,5,2,3.968999234887427
9,6,2,3.968999234887427
10,7,2,7.122808519746405
11,7,2,7.076372926078291
12,7,2,3.968947207394015
13,6,2,7.076372926078291
14,7,2,3.968947048803827
15,8,2,3.968947207394015
16,7,2,1.6190949982822023
17,5,2,3.968947048803827
18,7,2,1.6191470257756149
19,6,2,7.122808519746405
20,7,2,7.076372926078291
21,6,2,3.876856483758804
22,6,2,1.619094839692015
23,6,2,36.22721524617259
24,6,2,3.968947048803827
25,7,2,3.968947207394015
26,8,2,1.6191470257756149
27,5,2,3.968999234887427
28,8,2,1.6190949982822023
29,7,2,3.876856483758804
30,7,2,3.968999234887427
31,6,2,1.5882519154977182
32,5,2,1.588253024251817
33,6,2,36.18078084748332
34,8,2,3.9688951799006023
35,8,2,3.968947207394015
36,5,2,1.5882519154977182
37,7,2,3.9073157612200045
38,7,2,36.22721524617259
39,7,2,3.9688951799006023
40,6,2,3.968947048803827
41,7,2,3.968947207394015
42,6,2,3.968947048803827
43,7,2,36.18078084748332
44,6,2,3.9073157612200045
45,5,2,3.968947048803827
46,7,2,3.968999234887427
47,6,2,7.076372926078291
48,6,2,3.9689993934776147
49,6,2,3.9688429938170025
50,6,2,3.9688429938170025
51,6,2,3.968947207394015
52,6,2,3.9688950213104146
53,6,2,3.9688950213104146
54,6,3,7.122807563535589
55,6,3,3.9379999096553036
56,7,3,3.96899907629724
57,6,3,3.9689473659842025
58,6,3,3.9688950213104146
59,5,3,3.96899907629724
60,7,3,3.938053205870217
61,7,3,7.122887805655093
62,6,3,1.6191471843658025
63,6,3,1.5881990950533678
64,7,3,3.968947207394015
65,6,3,3.9689995520678023
66,6,3,3.96899907629724
67,8,3,3.9688950213104146
68,7,3,1.588304577351881
69,6,3,3.8768042976752044
70,6,3,3.8463972062976044
71,6,3,36.180623469506095
72,6,3,1.588199728036904
73,7,3,3.9380514627553675
74,8,3,36.18062394704215
75,7,3,36.180623469506095
76,5,3,7.122729232699018
77,7,3,36.18078084748332
78,6,3,7.122809234911793
79,6,3,72.36066975166854
80,7,3,3.9689473659842025
81,5,3,3.8769086698424045
82,8,3,36.18070251664675
83,5,3,36.22729548715339
84,8,3,36.18078084748332
85,7,3,3.9379992766717677
86,5,3,3.8463972062976044
87,7,3,72.36066975166854
88,7,3,3.9689995520678023
89,8,3,36.22721524617259
90,8,3,1.6190949982822023
91,6,3,36.22713691533602
92,7,3,3.968947048803827
93,8,3,3.938052095738904
94,7,3,36.22713691533602
95,6,3,3.9379992766717677
96,7,3,3.9689995520678023
97,7,3,1.6191471843658025
98,6,3,3.9689473659842025
99,7,3,36.18070251664675
100,6,3,3.9689995520678023
101,7,3,36.22721620238341
102,6,3,7.122887805655093
103,7,3,3.9379999096553036
104,7,3,1.6191471843658025
105,7,3,3.96899907629724
106,6,3,10.660667580708795
107,5,3,3.9689995520678023
108,8,3,1.5882519154977182
109,7,3,3.9688950213104146
110,6,3,7.076294834009748
111,7,3,1.588304100204104
112,6,3,36.2272954882921
113,6,3,1.5882517569075305
114,7,3,3.876856483758804
115,5,3,3.968947048803827
116,5,3,3.846345020214004
117,6,3,3.938053205870217
118,7,3,3.968947048803827
119,6,3,7.122887805655093
120,6,3,7.122809234911793
121,8,3,3.9688950213104146
122,8,3,3.968947207394015
123,8,3,3.968947048803827
124,6,3,3.907263575136404
125,6,3,72.40718248119441
126,5,3,3.968947048803827
127,7,3,1.6191471843658025
128,5,3,3.9689995520678023
129,6,3,36.22729644336421
130,6,3,3.96899907629724
131,5,3,3.96899907629724
132,7,3,3.8768042976752044
133,7,3,3.938052095738904
134,8,3,3.938053205870217
135,6,3,1.5883050517452295
136,7,3,36.22721524617259
137,6,3,36.22729644336421
138,8,3,3.968947207394015
139,6,3,1.588304577351881
140,7,3,3.9689473659842025
141,6,3,3.9689473659842025
142,6,3,1.5883050517452295
143,5,3,3.846345020214004
144,6,3,3.968947048803827
145,7,3,3.876856483758804
146,6,3,3.9689995520678023
147,5,3,3.8768042976752044
148,7,3,3.968947207394015
149,6,3,3.846345020214004
150,7,3,3.9689473659842025
151,6,3,3.9689473659842025
152,8,3,1.5882519141205038
153,7,3,3.9688950213104146
154,8,3,3.9688950213104146
155,7,3,3.968947048803827
156,6,3,3.8769086698424045
157,7,3,7.076294834009748
158,5,3,3.9689995520678023
159,6,3,3.968947048803827
160,6,3,3.938105233363629
161,7,3,1.5883050517452295
162,7,3,3.9689993934776147
163,5,3,36.2272954882921
164,6,3,3.8463972062976044
165,5,3,10.66058733972799
166,7,3,1.6191990532690275
167,6,3,3.96899907629724
168,7,3,3.9689473659842025
169,7,3,72.40718248119441
170,5,3,7.122887805655093
171,5,3,3.96899907629724
172,7,3,3.938105233363629
173,5,3,10.660667580708795
174,6,3,7.122729232699018
175,6,3,3.907263575136404
176,7,3,3.9689473659842025
177,7,3,3.9688950213104146
178,7,3,1.5882519141205038
179,7,3,36.22729644336421
180,6,3,3.9689995520678023
181,8,3,36.180780608715295
182,6,3,3.876856483758804
183,6,3,3.9380514627553675
184,6,3,1.588304100204104
185,6,3,36.22729548715339
186,5,3,3.8768042976752044
187,7,3,3.9688950213104146
188,6,3,7.122729232699018
189,6,3,3.9689995520678023
190,7,3,3.938053205870217
191,5,3,3.907263575136404
192,6,3,3.96899907629724
193,7,3,1.6190949982822023
194,7,3,1.5883050517452295
195,7,3,1.5882519154977182
196,5,3,1.5881990950533678
197,7,3,1.588199728036904
198,5,3,36.22729644336421
199,6,3,3.8768042976752044
200,8,3,36.22721620238341
201,7,3,7.122809234911793
202,6,3,3.8768042976752044
203,7,3,3.907263575136404
204,5,3,7.122729232699018
205,7,3,1.5882517569075305
206,5,3,7.122807563535589
207,6,3,10.66058733972799
208,6,3,3.968947048803827
209,7,3,36.180780608715295
210,8,3,1.6191990532690275
211,6,3,1.6191471843658025
212,6,3,3.876856483758804
213,6,3,1.6191471843658025
214,5,3,7.122809234911793
215,6,3,3.9689993934776147
216,5,3,3.8463972062976044
217,6,3,3.9689473659842025
218,6,3,3.96899907629724
219,6,3,3.968947048803827
220,7,3,36.18062394704215
221,6,3,3.846345020214004
222,5,3,36.2270597783396
223,6,3,3.9380010197866167
224,5,3,3.9378933199799064
225,4,3,36.18054513866952
226,5,3,3.9379477235717038
227,5,3,36.18054489990149
228,5,3,3.937998643688232
229,6,3,3.968842835226815
230,5,3,36.18054489990149
231,5,3,3.9378955374881035
232,5,3,36.180623469506095
233,5,3,3.9688950213104146
234,4,3,3.9378955374881035
235,5,3,3.9687906491432146
236,6,3,36.18062370827412
237,6,3,3.9380010197866167
238,6,3,36.18070203911069
239,5,3,36.18070203911069
240,4,3,3.9380010197866167
241,6,3,3.938052095738904
242,5,3,3.96899907629724
243,6,3,3.9688950213104146
244,4,3,3.9688948627202274
245,4,3,36.22713667656799
246,5,3,3.9380010197866167
247,6,3,3.9688948627202274
248,6,3,3.968842835226815
249,5,3,36.2271383479442
250,5,3,36.18054537743755
251,4,3,36.22690144642895
252,6,3,36.18054537743755
253,4,3,3.9379994352619554
254,5,3,3.9380525715094663
255,4,3,36.227058345731415
256,5,3,36.22713667656799
257,5,3,3.938103967396557
258,4,3,36.18062394704215
259,6,3,36.18054537743755
260,5,3,36.180623469506095
261,5,3,3.9688951799006023
262,6,3,36.18070203911069
263,5,3,3.9688948627202274
264,5,3,36.18062394704215
265,4,3,3.9688948627202274
266,5,3,3.96899907629724
267,5,3,3.9380530472800293
268,5,3,3.9379477235717038
269,6,3,3.937999278048982
270,5,3,3.9689473659842025
271,5,3,3.9378939529634422
272,6,3,3.9688948627202274
273,6,3,3.9379999096553036
274,5,3,3.9379477235717038
275,5,3,3.937948833703017
276,4,3,36.18054489990149
277,4,3,3.9379477235717038
278,5,3,36.18062394704215
279,5,3,36.18054489990149
280,5,3,3.9688950213104146
281,5,3,36.18062394704215
282,5,3,3.9688948627202274
283,5,3,36.18054513866952
284,5,3,36.2271383479442
285,5,3,36.180623469506095
286,4,3,36.18054537743755
287,6,3,3.9688950213104146
288,5,3,36.227058345731415
289,4,3,36.18062394704215
290,5,3,3.9379466161948193
291,5,3,3.937946139047042
292,5,3,3.9381041259867446
293,5,3,36.226980016033544
294,4,3,36.226980492430904
295,6,3,3.938051939903145
296,4,3,3.937893318602692
297,4,3,36.18054489990149
298,4,3,3.937946614817605
299,5,3,36.18070203911069
300,5,3,3.9688951799006023
301,5,3,36.180623469506095
302,4,3,36.18054489990149
303,5,3,3.9381050761506557
304,5,3,36.18054489990149
305,5,3,36.18054537743755
306,6,3,36.18054513866952
307,4,3,36.226981208735
308,5,3,3.9379999096553036
309,5,3,36.226981208735
310,4,3,3.9378939529634422
311,5,3,36.18062394704215
312,6,4,3.937998642311017
313,6,4,36.22721787262091
314,6,4,3.9689995520678023
315,5,4,72.40726367724731
316,7,4,3.9379992752945534
317,6,4,7.12288875958851
318,6,4,3.9379992752945534
319,7,4,36.22721524617259
320,6,4,3.9688950213104146
321,5,4,1.5883570792386417
322,6,4,36.18062418581018
323,7,4,36.18062418581018
324,5,4,3.9689995520678023
325,7,4,36.22729548829209
326,5,4,7.12288875958851
327,6,4,36.22729548829209
328,5,4,3.937998642311017
329,6,4,3.8768042976752044
330,6,4,36.22721524617259
331,7,4,1.5882512797597537
332,6,4,72.40726367724731
333,6,4,1.5882512797597537
334,6,4,36.18062418581018
335,7,4,36.22721787262091
336,7,4,36.22729644222551
337,5,4,3.8158857427528043
338,7,4,3.9688950213104146
339,5,4,3.8768042976752044
340,7,4,36.18062418581018
341,6,4,36.22729644222551
342,4,4,3.8158857427528043
343,6,4,1.5883570792386417
344,4,4,3.937947089210953
345,5,4,3.9379464562274173
346,4,4,36.22690168519697
347,4,4,3.937947089210953
348,4,4,3.937946614817605
349,4,4,36.2272169175488
350,4,4,36.22713667656799
351,5,4,36.180467285369005
352,4,4,36.227139303016315
353,4,4,36.18054489990149
354,4,4,36.22721787262092
355,4,4,36.2272169175488
356,4,4,36.226980492430904
