index,hight,width,estimate,root_children
0,5,2,4.611686018427388e+19,2
1,6,2,4.611686018427388e+19,2
2,6,3,3.6893488147419103e+19,2
3,4,3,3.6893488147419103e+19,2
4,4,3,3.6893488147419103e+19,2
5,5,3,3.6893488147419103e+19,2
6,4,3,2.7670116110564327e+19,3
7,3,3,1.8446744073709552e+19,3
8,4,3,2.7670116110564327e+19,3
9,3,3,1.8446744073709552e+19,3
10,4,4,2.7670116110564327e+19,2
11,4,4,2.7670116110564327e+19,2
12,3,4,1.8446744073709552e+19,4
13,3,4,1.8446744073709552e+19,4
14,3,4,9.223372036854776e+18,4
15,4,4,1.8446744073709552e+19,4
16,3,5,9.223372036854776e+18,5
12,3,4,1.8446744073709552e+19,4
