index,hight,width,estimate,root_children
0,6,2,5.5340232221128655e+19,2
1,5,2,5.5340232221128655e+19,2
2,5,2,5.5340232221128655e+19,2
3,5,2,5.5340232221128655e+19,2
4,4,2,4.611686018427388e+19,2
5,5,2,5.5340232221128655e+19,2
6,7,2,4.611686018427388e+19,2
7,7,2,4.611686018427388e+19,2
8,5,2,4.611686018427388e+19,2
9,6,2,4.611686018427388e+19,2
10,5,2,4.611686018427388e+19,2
11,5,2,4.611686018427388e+19,2
12,6,2,5.5340232221128655e+19,2
13,5,2,4.611686018427388e+19,2
14,7,2,5.5340232221128655e+19,2
15,5,2,4.611686018427388e+19,2
16,6,2,5.5340232221128655e+19,2
17,7,2,5.5340232221128655e+19,2
18,5,2,4.611686018427388e+19,2
19,5,2,5.5340232221128655e+19,2
0,6,2,5.5340232221128655e+19,2
