index,hight,width,estimate,root_children
0,10,2,1.1068046444225731e+20,2
1,9,2,1.1068046444225731e+20,2
2,8,2,1.1068046444225731e+20,2
3,9,2,1.1068046444225731e+20,2
4,8,2,1.1068046444225731e+20,2
5,9,2,1.1068046444225731e+20,2
6,9,2,1.1068046444225731e+20,2
7,9,2,1.1068046444225731e+20,2
8,8,2,1.1068046444225731e+20,2
9,9,2,1.1068046444225731e+20,2
10,10,2,1.1068046444225731e+20,2
11,9,2,1.1068046444225731e+20,2
12,9,2,1.1068046444225731e+20,2
13,9,2,1.1068046444225731e+20,2
14,8,2,1.1068046444225731e+20,2
15,9,2,1.1068046444225731e+20,2
16,9,2,1.1068046444225731e+20,2
17,9,2,1.1068046444225731e+20,2
18,9,2,1.1068046444225731e+20,2
19,9,2,1.1068046444225731e+20,2
0,10,2,1.1068046444225731e+20,2
